Index,Sentences,Annotation
7,Good evening.,None
21,The television and radio stations of the United States and their affiliated stations are proud to provide facilities for a discussion of issues in the current political campaign by the two major candidates for the presidency.,None
247,The candidates need no introduction.,None
284,"The Republican candidate, Vice President Richard M. Nixon, and the Democratic candidate, Senator John F. Kennedy.",None
398,"According to rules set by the candidates themselves, each man shall make an opening statement of approximately eight minutes' duration and a closing statement of approximately three minutes' duration.",None
599,"In between the candidates will answer, or comment upon answers to questions put by a panel of correspondents.",None
709,"In this, the first discussion in a series of four uh - joint appearances, the subject-matter has been agreed,will be restricted to internal or domestic American matters.",None
879,And now for the first opening statement by Senator John F. Kennedy.,None
956,"Mr. Smith, Mr. Nixon.",None
978,"In the election of 1860, Abraham Lincoln said the question was whether this nation could exist half-slave or half-free.",None
1098,"In the election of 1960, and with the world around us, the question is whether the world will exist half-slave or half-free, whether it will move in the direction of freedom, in the direction of the road that we are taking, or whether it will move in the direction of slavery.",Premise
1375,"I think it will depend in great measure upon what we do here in the United States, on the kind of society that we build, on the kind of strength that we maintain.",Claim
1538,"We discuss tonight domestic issues, but I would not want that to be any implication to be given that this does not involve directly our struggle with Mr. Khrushchev for survival.",Claim
1717,"Mr. Khrushchev is in New York, and he maintains the Communist offensive throughout the world because of the productive power of the Soviet Union itself.",Premise
1870,The Chinese Communists have always had a large population.,Premise
1929,But they are important and dangerous now because they are mounting a major effort within their own country.,Premise
2037,"The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom.",Claim
2183,"If we do well here, if we meet our obligations, if we're moving ahead, then I think freedom will be secure around the world.",None
2308,"If we fail, then freedom fails.",None
2340,"Therefore, I think the question before the American people is: Are we doing as much as we can do?",Claim
2438,Are we as strong as we should be?,None
2472,"Are we as strong as we must be if we're going to maintain our independence, and if we're going to maintain and hold out the hand of friendship to those who look to us for assistance, to those who look to us for survival?",None
2693,"I should make it very clear that I do not think we're doing enough, that I am not satisfied as an American with the progress that we're making.",Claim
2837,"This is a great country, but I think it could be a greater country; and this is a powerful country, but I think it could be a more powerful country.",Claim
2986,I'm not satisfied to have fifty percent of our steel-mill capacity unused.,Claim
3061,I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world.,Claim
3201,Because economic growth means strength and vitality; it means we're able to sustain our defenses; it means we're able to meet our commitments abroad.,Premise
3351,"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual.",Premise
3626,"I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I don't think we're meeting our obligations toward these Americans.",Premise
3843,I'm not satisfied when the Soviet Union is turning out twice as many scientists and engineers as we are.,Claim
3948,"I'm not satisfied when many of our teachers are inadequately paid, or when our children go to school part-time shifts.",Claim
4067,I think we should have an educational system second to none.,Claim
4128,I'm not satisfied when I see men like Jimmy Hoffa - in charge of the largest union in the United States - still free.,Claim
4246,I'm not satisfied when we are failing to develop the natural resources of the United States to the fullest.,Claim
4354,"Here in the United States, which developed the Tennessee Valley and which built the Grand Coulee and the other dams in the Northwest United States at the present rate of hydropower production - and that is the hallmark of an industrialized society - the Soviet Union by 1975 will be producing more power than we are.",Premise
4671,"These are all the things, I think, in this country that can make our society strong, or can mean that it stands still.",None
4790,I'm not satisfied until every American enjoys his full constitutional rights.,Claim
4868,If a Negro baby is born - and this is true also of Puerto Ricans and Mexicans in some of our cities - he has about one-half as much chance to get through high school as a white baby.,Premise
5051,He has one-third as much chance to get through college as a white student.,Premise
5126,"He has about a third as much chance to be a professional man, about half as much chance to own a house.",Premise
5230,He has about uh - four times as much chance that he'll be out of work in his life as the white baby.,Premise
5331,I think we can do better.,Claim
5357,I don't want the talents of any American to go to waste.,Claim
5414,I know that there are those who want to turn everything over to the government.,None
5494,I don't at all.,Claim
5510,I want the individuals to meet their responsibilities.,Claim
5565,And I want the states to meet their responsibilities.,Claim
5619,But I think there is also a national responsibility.,Claim
5672,The argument has been used against every piece of social legislation in the last twenty-five years.,None
5772,The people of the United States individually could not have developed the Tennessee Valley; collectively they could have.,None
5894,"A cotton farmer in Georgia or a peanut farmer or a dairy farmer in Wisconsin and Minnesota, he cannot protect himself against the forces of supply and demand in the market place; but working together in effective governmental programs he can do so.",None
6143,"Seventeen million Americans, who live over sixty-five on an average Social Security check of about seventy-eight dollars a month, they're not able to sustain themselves individually, but they can sustain themselves through the social security system.",None
6394,"I don't believe in big government, but I believe in effective governmental action.",Claim
6477,And I think that's the only way that the United States is going to maintain its freedom.,Claim
6566,It's the only way that we're going to move ahead.,None
6616,I think we can do a better job.,Claim
6648,I think we're going to have to do a better job if we are going to meet the responsibilities which time and events have placed upon us.,Premise
6783,We cannot turn the job over to anyone else.,None
6827,"If the United States fails, then the whole cause of freedom fails.",None
6894,And I think it depends in great measure on what we do here in this country.,Claim
6970,The reason Franklin Roosevelt was a good neighbor in Latin America was because he was a good neighbor in the United States.,None
7094,Because they felt that the American society was moving again.,Premise
7156,I want us to recapture that image.,Claim
7191,"I want people in Latin America and Africa and Asia to start to look to America; to see how we're doing things; to wonder what the resident of the United States is doing; and not to look at Khrushchev, or look at the Chinese Communists.",Claim
7427,That is the obligation upon our generation.,Claim
7471,"In 1933, Franklin Roosevelt said in his inaugural that this generation of Americans has a rendezvous with destiny.",Premise
7586,I think our generation of Americans has the same rendezvous.,Claim
7647,The question now is: Can freedom be maintained under the most severe tack - attack it has ever known?,Premise
7749,I think it can be.,Claim
7768,And I think in the final analysis it depends upon what we do here.,Claim
7835,I think it's time America started moving again.,Claim
7890,And now the opening statement by Vice President Richard M. Nixon.,None
7963,"Mr. Smith, Senator Kennedy.",None
7991,The things that Senator Kennedy has said many of us can agree with.,None
8059,There is no question but that we cannot discuss our internal affairs in the United States without recognizing that they have a tremendous bearing on our international position.,Claim
8236,"There is no question but that this nation cannot stand still; because we are in a deadly competition, a competition not only with the men in the Kremlin, but the men in Peking.",Premise
8413,"We're ahead in this competition, as Senator Kennedy, I think, has implied.",Claim
8488,"But when you're in a race, the only way to stay ahead is to move ahead.",None
8560,"And I subscribe completely to the spirit that Senator Kennedy has expressed tonight, the spirit that the United States should move ahead.",Claim
8698,"Where, then, do we disagree?",None
8727,I think we disagree on the implication of his remarks tonight and on the statements that he has made on many occasions during his campaign to the effect that the United States has been standing still.,Claim
8928,"We heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world.",Premise
9078,"Now last year, of course, was 1958.",None
9114,That happened to be a recession year.,None
9152,But when we look at the growth of G.N.P.,Premise
9193,"this year, a year of recovery, we find that it's six and nine-tenths per cent and one of the highest in the world today.",Claim
9314,More about that later.,None
9337,"Looking then to this problem of how the United States should move ahead and where the United States is moving, I think it is well that we take the advice of a very famous campaigner: Let's look at the record.",Claim
9546,Is the United States standing still?,None
9583,"Is it true that this Administration, as Senator Kennedy has charged, has been an Administration of retreat, of defeat, of stagnation?",Premise
9717,"Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.",Premise
9878,"Well, we have a comparison that we can make.",None
9923,We have the record of the Truman Administration of seven and a half years and the seven and a half years of the Eisenhower Administration.,None
10062,"When we compare these two records in the areas that Senator Kennedy has - has discussed tonight, I think we find that America has been moving ahead.",Premise
10211,Let's take schools.,None
10231,"We have built more schools in these last seven and a half years than we built in the previous seven and a half, for that matter in the previous twenty years.",Claim
10389,Let's take hydroelectric power.,None
10421,We have developed more hydroelectric power in these seven and a half years than was developed in any previous administration in history.,Claim
10558,Let us take hospitals.,None
10581,We find that more have been built in this Administration than in the previous Administration.,Claim
10675,The same is true of highways.,Claim
10705,Let's put it in terms that all of us can understand.,None
10758,We often hear gross national product discussed and in that respect may I say that when we compare the growth in this Administration with that of the previous Administration that then there was a total growth of eleven percent over seven years; in this Administration there has been a total growth of nineteen percent over seven years.,Premise
11093,That shows that there's been more growth in this Administration than in its predecessor.,Claim
11182,But let's not put it there; let's put it in terms of the average family.,None
11255,What has happened to you?,None
11281,We find that your wages have gone up five times as much in the Eisenhower Administration as they did in the Truman Administration.,Premise
11412,What about the prices you pay?,None
11443,We find that the prices you pay went up five times as much in the Truman Administration as they did in the Eisenhower Administration.,Premise
11577,What's the net result of this?,None
11608,This means that the average family income went up fifteen per cent in the Eisenhower years as against two percent in the Truman years.,Premise
11743,"Now, this is not standing still.",Claim
11776,"But, good as this record is, may I emphasize it isn't enough.",None
11838,A record is never something to stand on.,None
11879,It's something to build on.,None
11907,"And in building on this record, I believe that we have the secret for progress, we know the way to progress.",Claim
12016,"And I think, first of all, our own record proves that we know the way.",Claim
12087,Senator Kennedy has suggested that he believes he knows the way.,None
12152,I respect the sincerity which he m- which he makes that suggestion.,None
12220,"But on the other hand, when we look at the various programs that he offers, they do not seem to be new.",Premise
12324,They seem to be simply retreads of the programs of the Truman Administration which preceded it.,Premise
12420,"And I would suggest that during the course of the evening he might indicate those areas in which his programs are new, where they will mean more progress than we had then.",None
12592,What kind of programs are we for?,None
12626,"We are for programs that will expand educational opportunities, that will give to all Americans their equal chance for education, for all of the things which are necessary and dear to the hearts of our people.",None
12836,"We are for programs, in addition, which will see that our medical care for the aged are - is - are much - is much better handled than it is at the present time.",None
12997,"Here again, may I indicate that Senator Kennedy and I are not in disagreement as to the aims.",None
13091,We both want to help the old people.,Claim
13128,We want to see that they do have adequate medical care.,Claim
13184,The question is the means.,None
13211,I think that the means that I advocate will reach that goal better than the means that he advocates.,Claim
13312,"I could give better examples, but for - for whatever it is, whether it's in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will move America, move her forward and build on the wonderful record that we have made over these past seven and a half years.",Premise
13654,"Now, when we look at these programs, might I suggest that in evaluating them we often have a tendency to say that the test of a program is how much you're spending.",None
13819,I will concede that in all the areas to which I have referred Senator Kennedy would have the spe- federal government spend more than I would have it spend.,None
13975,I costed out the cost of the Democratic platform.,None
14025,It runs a minimum of thirteen and two-tenths billions dollars a year more than we are presently spending to a maximum of eighteen billion dollars a year more than we're presently spending.,None
14214,Now the Republican platform will cost more too.,Premise
14262,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.",Premise
14414,"Now, does this mean that his program is better than ours?",None
14472,Not at all.,None
14484,Because it isn't a question of how much the federal government spends; it isn't a question of which government does the most.,None
